Day	SouthernSeoul
2008-04-07	53.6 
2008-04-14	53.6 
2008-04-21	53.7 
2008-04-28	53.7 
2008-05-05	53.8 
2008-05-12	53.8 
2008-05-19	53.9 
2008-05-26	53.9 
2008-06-02	53.9 
2008-06-09	53.9 
2008-06-16	53.9 
2008-06-23	54.0 
2008-06-30	54.0 
2008-07-07	54.0 
2008-07-14	54.0 
2008-07-21	54.0 
2008-07-28	53.9 
2008-08-04	53.9 
2008-08-11	53.9 
2008-08-18	53.9 
2008-08-25	53.9 
2008-09-01	53.9 
2008-09-08	53.9 
2008-09-15	53.9 
2008-09-22	53.8 
2008-09-29	53.8 
2008-10-06	53.7 
2008-10-13	53.6 
2008-10-20	53.4 
2008-10-27	53.2 
2008-11-03	53.1 
2008-11-10	52.9 
2008-11-17	52.8 
2008-11-24	52.6 
2008-12-01	52.4 
2008-12-08	52.1 
2008-12-15	51.9 
2008-12-22	51.6 
2008-12-29	51.4 
2009-01-05	51.3 
2009-01-12	51.3 
2009-01-19	51.3 
2009-02-02	51.4 
2009-02-09	51.4 
2009-02-16	51.4 
2009-02-23	51.4 
2009-03-02	51.4 
2009-03-09	51.4 
2009-03-16	51.3 
2009-03-23	51.3 
2009-03-30	51.4 
2009-04-06	51.5 
2009-04-13	51.7 
2009-04-20	51.7 
2009-04-27	51.8 
2009-05-04	51.8 
2009-05-11	51.8 
2009-05-18	51.9 
2009-05-25	51.9 
2009-06-01	52.0 
2009-06-08	52.1 
2009-06-15	52.2 
2009-06-22	52.3 
2009-06-29	52.4 
2009-07-06	52.6 
2009-07-13	52.7 
2009-07-20	52.8 
2009-07-27	52.9 
2009-08-03	52.9 
2009-08-10	53.1 
2009-08-17	53.2 
2009-08-24	53.3 
2009-08-31	53.6 
2009-09-07	53.7 
2009-09-14	53.8 
2009-09-21	53.9 
2009-09-28	53.9 
2009-10-05	54.0 
2009-10-12	54.0 
2009-10-19	54.0 
2009-10-26	54.0 
2009-11-02	54.0 
2009-11-09	54.0 
2009-11-16	53.9 
2009-11-23	53.9 
2009-11-30	53.9 
2009-12-07	53.9 
2009-12-14	53.9 
2009-12-21	53.9 
2009-12-28	53.9 
2010-01-04	54.0 
2010-01-11	54.0 
2010-01-18	54.0 
2010-01-25	54.1 
2010-02-01	54.2 
2010-02-08	54.2 
2010-02-15	54.2 
2010-02-22	54.3 
2010-03-01	54.3 
2010-03-08	54.3 
2010-03-15	54.2 
2010-03-22	54.2 
2010-03-29	54.2 
2010-04-05	54.2 
2010-04-12	54.2 
2010-04-19	54.1 
2010-04-26	54.1 
2010-05-03	54.0 
2010-05-10	54.0 
2010-05-17	53.9 
2010-05-24	53.9 
2010-05-31	53.8 
2010-06-07	53.7 
2010-06-14	53.7 
2010-06-21	53.6 
2010-06-28	53.5 
2010-07-05	53.5 
2010-07-12	53.4 
2010-07-19	53.3 
2010-07-26	53.3 
2010-08-02	53.2 
2010-08-09	53.2 
2010-08-16	53.1 
2010-08-23	53.1 
2010-08-30	53.1 
2010-09-06	53.0 
2010-09-13	53.0 
2010-09-27	53.0 
2010-10-04	53.0 
2010-10-11	52.9 
2010-10-18	52.9 
2010-10-25	52.9 
2010-11-01	52.9 
2010-11-08	52.9 
2010-11-15	52.9 
2010-11-22	52.9 
2010-11-29	52.9 
2010-12-06	52.9 
2010-12-13	53.0 
2010-12-20	53.0 
2010-12-27	53.0 
2011-01-03	53.1 
2011-01-10	53.1 
2011-01-17	53.1 
2011-01-24	53.2 
2011-02-07	53.2 
2011-02-14	53.3 
2011-02-21	53.3 
2011-02-28	53.3 
2011-03-07	53.4 
2011-03-14	53.4 
2011-03-21	53.4 
2011-03-28	53.4 
2011-04-04	53.4 
2011-04-11	53.4 
2011-04-18	53.4 
2011-04-25	53.3 
2011-05-02	53.3 
2011-05-09	53.3 
2011-05-16	53.3 
2011-05-23	53.3 
2011-05-30	53.2 
2011-06-06	53.2 
2011-06-13	53.2 
2011-06-20	53.2 
2011-06-27	53.2 
2011-07-04	53.1 
2011-07-11	53.1 
2011-07-18	53.1 
2011-07-25	53.1 
2011-08-01	53.1 
2011-08-08	53.1 
2011-08-15	53.0 
2011-08-22	53.0 
2011-08-29	53.0 
2011-09-05	53.0 
2011-09-19	53.0 
2011-09-26	53.0 
2011-10-03	52.9 
2011-10-10	52.9 
2011-10-17	52.9 
2011-10-24	52.8 
2011-10-31	52.8 
2011-11-07	52.8 
2011-11-14	52.7 
2011-11-21	52.7 
2011-11-28	52.7 
2011-12-05	52.6 
2011-12-12	52.6 
2011-12-19	52.6 
2011-12-26	52.6 
2012-01-02	52.6 
2012-01-09	52.5 
2012-01-16	52.5 
2012-01-30	52.5 
2012-02-06	52.5 
2012-02-13	52.4 
2012-02-20	52.4 
2012-02-27	52.4 
2012-03-05	52.3 
2012-03-12	52.3 
2012-03-19	52.2 
2012-03-26	52.1 
2012-04-02	52.1 
2012-04-09	52.0 
2012-04-16	52.0 
2012-04-23	51.9 
2012-04-30	51.9 
2012-05-07	51.8 
2012-05-14	51.8 
2012-05-21	51.8 
2012-05-28	51.7 
2012-06-04	51.7 
2012-06-11	51.6 
2012-06-18	51.6 
2012-06-25	51.5 
2012-07-02	51.5 
2012-07-09	51.4 
2012-07-16	51.3 
2012-07-23	51.3 
2012-07-30	51.2 
2012-08-06	51.1 
2012-08-13	51.0 
2012-08-20	50.9 
2012-08-27	50.8 
2012-09-03	50.7 
2012-09-10	50.6 
2012-09-17	50.6 
2012-09-24	50.5 
2012-10-08	50.4 
2012-10-15	50.4 
2012-10-22	50.3 
2012-10-29	50.3 
2012-11-05	50.2 
2012-11-12	50.2 
2012-11-19	50.1 
2012-11-26	50.0 
2012-12-03	50.0 
2012-12-10	49.9 
2012-12-17	49.9 
2012-12-24	49.8 
2012-12-31	49.8 
2013-01-07	49.8 
2013-01-14	49.7 
2013-01-21	49.7 
2013-01-28	49.6 
2013-02-04	49.6 
2013-02-11	49.6 
2013-02-18	49.5 
2013-02-25	49.5 
2013-03-04	49.5 
2013-03-11	49.5 
2013-03-18	49.5 
2013-03-25	49.5 
2013-04-01	49.4 
2013-04-08	49.4 
2013-04-15	49.4 
2013-04-22	49.5 
2013-04-29	49.5 
2013-05-06	49.5 
2013-05-13	49.5 
2013-05-20	49.4 
2013-05-27	49.4 
2013-06-03	49.4 
2013-06-10	49.4 
2013-06-17	49.3 
2013-06-24	49.3 
2013-07-01	49.3 
2013-07-08	49.3 
2013-07-15	49.2 
2013-07-22	49.2 
2013-07-29	49.1 
2013-08-05	49.1 
2013-08-12	49.1 
2013-08-19	49.1 
2013-08-26	49.1 
2013-09-02	49.1 
2013-09-09	49.1 
2013-09-23	49.1 
2013-09-30	49.1 
2013-10-07	49.1 
2013-10-14	49.1 
2013-10-21	49.1 
2013-10-28	49.1 
2013-11-04	49.1 
2013-11-11	49.1 
2013-11-18	49.1 
2013-11-25	49.1 
2013-12-02	49.1 
2013-12-09	49.1 
2013-12-16	49.1 
2013-12-23	49.1 
2013-12-30	49.2 
2014-01-06	49.2 
2014-01-13	49.2 
2014-01-20	49.2 
2014-02-03	49.2 
2014-02-10	49.2 
2014-02-17	49.3 
2014-02-24	49.3 
2014-03-03	49.4 
2014-03-10	49.4 
2014-03-17	49.4 
2014-03-24	49.4 
2014-03-31	49.4 
2014-04-07	49.4 
2014-04-14	49.4 
2014-04-21	49.4 
2014-04-28	49.4 
2014-05-12	49.4 
2014-05-19	49.4 
2014-05-26	49.3 
2014-06-02	49.3 
2014-06-09	49.3 
2014-06-16	49.3 
2014-06-23	49.3 
2014-06-30	49.3 
2014-07-07	49.3 
2014-07-14	49.3 
2014-07-21	49.3 
2014-07-28	49.3 
2014-08-04	49.3 
2014-08-11	49.4 
2014-08-18	49.4 
2014-08-25	49.4 
2014-09-01	49.5 
2014-09-15	49.6 
2014-09-22	49.6 
2014-09-29	49.7 
2014-10-06	49.7 
2014-10-13	49.7 
2014-10-20	49.8 
2014-10-27	49.8 
2014-11-03	49.8 
2014-11-10	49.8 
2014-11-17	49.8 
2014-11-24	49.8 
2014-12-01	49.8 
2014-12-08	49.8 
2014-12-15	49.8 
2014-12-22	49.8 
2014-12-29	49.8 
2015-01-05	49.8 
2015-01-12	49.8 
2015-01-19	49.8 
2015-01-26	49.8 
2015-02-02	49.9 
2015-02-09	49.9 
2015-02-23	49.9 
2015-03-02	50.0 
2015-03-09	50.1 
2015-03-16	50.1 
2015-03-23	50.2 
2015-03-30	50.3 
2015-04-06	50.4 
2015-04-13	50.4 
2015-04-20	50.5 
2015-04-27	50.6 
2015-05-04	50.6 
2015-05-11	50.7 
2015-05-18	50.7 
2015-05-25	50.8 
2015-06-01	50.9 
2015-06-08	50.9 
2015-06-15	51.0 
2015-06-22	51.0 
2015-06-29	51.1 
2015-07-06	51.1 
2015-07-13	51.2 
2015-07-20	51.3 
2015-07-27	51.4 
2015-08-03	51.5 
2015-08-10	51.5 
2015-08-17	51.6 
2015-08-24	51.7 
2015-08-31	51.8 
2015-09-07	51.8 
2015-09-14	51.9 
2015-09-21	52.0 
2015-10-05	52.1 
2015-10-12	52.2 
2015-10-19	52.3 
2015-10-26	52.4 
2015-11-02	52.5 
2015-11-09	52.5 
2015-11-16	52.6 
2015-11-23	52.6 
2015-11-30	52.7 
2015-12-07	52.7 
2015-12-14	52.7 
2015-12-21	52.8 
2015-12-28	52.8 
2016-01-04	52.8 
2016-01-11	52.8 
2016-01-18	52.8 
2016-01-25	52.9 
2016-02-01	52.9 
2016-02-15	52.9 
2016-02-22	52.9 
2016-02-29	52.9 
2016-03-07	52.9 
2016-03-14	52.9 
2016-03-21	52.9 
2016-03-28	52.9 
2016-04-04	52.9 
2016-04-11	53.0 
2016-04-18	53.0 
2016-04-25	53.0 
2016-05-02	53.1 
2016-05-09	53.1 
2016-05-16	53.1 
2016-05-23	53.2 
2016-05-30	53.2 
2016-06-06	53.3 
2016-06-13	53.4 
2016-06-20	53.5 
2016-06-27	53.6 
2016-07-04	53.7 
2016-07-11	53.8 
2016-07-18	53.8 
2016-07-25	53.9 
2016-08-01	54.0 
2016-08-08	54.0 
2016-08-15	54.1 
2016-08-22	54.2 
2016-08-29	54.3 
2016-09-05	54.4 
2016-09-19	54.5 
2016-09-26	54.6 
2016-10-03	54.7 
2016-10-10	54.8 
2016-10-17	55.0 
2016-10-24	55.1 
2016-10-31	55.1 
2016-11-07	55.2 
2016-11-14	55.2 
2016-11-21	55.2 
2016-11-28	55.2 
2016-12-05	55.2 
2016-12-12	55.2 
2016-12-19	55.2 
2016-12-26	55.2 
2017-01-02	55.2 
2017-01-09	55.2 
2017-01-16	55.2 
2017-01-23	55.2 
2017-01-30	55.2 
2017-02-06	55.2 
2017-02-13	55.2 
2017-02-20	55.2 
2017-02-27	55.2 
2017-03-06	55.3 
2017-03-13	55.3 
2017-03-20	55.3 
2017-03-27	55.3 
2017-04-03	55.3 
2017-04-10	55.4 
2017-04-17	55.4 
2017-04-24	55.4 
2017-05-08	55.5 
2017-05-15	55.5 
2017-05-22	55.6 
2017-05-29	55.7 
2017-06-05	55.9 
2017-06-12	56.0 
2017-06-19	56.2 
2017-06-26	56.3 
2017-07-03	56.4 
2017-07-10	56.5 
2017-07-17	56.7 
2017-07-24	56.8 
2017-07-31	57.1 
2017-08-07	57.1 
2017-08-14	57.1 
2017-08-21	57.1 
2017-08-28	57.1 
2017-09-04	57.2 
2017-09-11	57.2 
2017-09-18	57.2 
2017-09-25	57.3 
2017-10-09	57.4 
2017-10-16	57.5 
2017-10-23	57.6 
2017-10-30	57.7 
2017-11-06	57.7 
2017-11-13	57.9 
2017-11-20	58.0 
2017-11-27	58.1 
2017-12-04	58.2 
2017-12-11	58.3 
2017-12-18	58.5 
2017-12-25	58.6 
2018-01-01	58.8 
2018-01-08	59.0 
2018-01-15	59.2 
2018-01-22	59.5 
2018-01-29	59.7 
2018-02-05	59.9 
2018-02-19	60.2 
2018-02-26	60.4 
2018-03-05	60.6 
2018-03-12	60.7 
2018-03-19	60.9 
2018-03-26	61.0 
2018-04-02	61.1 
2018-04-09	61.2 
2018-04-16	61.3 
2018-04-23	61.4 
2018-04-30	61.4 
2018-05-07	61.5 
2018-05-14	61.5 
2018-05-21	61.6 
2018-05-28	61.7 
2018-06-04	61.7 
2018-06-11	61.8 
2018-06-18	61.8 
2018-06-25	61.9 
2018-07-02	61.9 
2018-07-09	62.0 
2018-07-16	62.1 
2018-07-23	62.2 
2018-07-30	62.4 
2018-08-06	62.6 
2018-08-13	62.9 
2018-08-20	63.4 
2018-08-27	63.9 
2018-09-03	64.6 
2018-09-10	65.3 
2018-09-17	65.7 
2018-10-01	66.1 
2018-10-08	66.3 
2018-10-15	66.5 
2018-10-22	66.5 
2018-10-29	66.6 
2018-11-05	66.6 
2018-11-12	66.7 
2018-11-19	66.7 
2018-11-26	66.7 
2018-12-03	66.7 
2018-12-10	66.7 
2018-12-17	66.7 
2018-12-24	66.7 
2018-12-31	66.7 
2019-01-07	66.7 
2019-01-14	66.6 
2019-01-21	66.6 
2019-01-28	66.6 
2019-02-11	66.5 
2019-02-18	66.5 
2019-02-25	66.4 
2019-03-04	66.4 
2019-03-11	66.4 
2019-03-18	66.3 
2019-03-25	66.3 
2019-04-01	66.3 
2019-04-08	66.2 
2019-04-15	66.2 
2019-04-22	66.2 
2019-04-29	66.2 
2019-05-06	66.2 
2019-05-13	66.2 
2019-05-20	66.2 
2019-05-27	66.1 
2019-06-03	66.1 
2019-06-10	66.1 
2019-06-17	66.1 
2019-06-24	66.2 
2019-07-01	66.2 
2019-07-08	66.3 
2019-07-15	66.4 
2019-07-22	66.5 
2019-07-29	66.6 
2019-08-05	66.6 
2019-08-12	66.7 
2019-08-19	66.8 
2019-08-26	66.8 
2019-09-02	66.9 
2019-09-16	67.0 
2019-09-23	67.2 
2019-09-30	67.3 
2019-10-07	67.4 
2019-10-14	67.5 
2019-10-21	67.7 
2019-10-28	67.8 
2019-11-04	67.9 
2019-11-11	68.0 
2019-11-18	68.2 
2019-11-25	68.4 
2019-12-02	68.6 
2019-12-09	68.8 
2019-12-16	69.0 
2019-12-23	69.2 
2019-12-30	69.3 
2020-01-06	69.4 
2020-01-13	69.6 
2020-01-20	69.7 
2020-02-03	69.8 
2020-02-10	70.0 
2020-02-17	70.1 
2020-02-24	70.2 
2020-03-02	70.3 
2020-03-09	70.4 
2020-03-16	70.5 
2020-03-23	70.5 
2020-03-30	70.5 
2020-04-06	70.5 
2020-04-13	70.5 
2020-04-20	70.5 
2020-05-04	70.5 
2020-05-11	70.5 
2020-05-18	70.5 
2020-05-25	70.5 
2020-06-01	70.6 
2020-06-08	70.7 
2020-06-15	70.8 
2020-06-22	71.1 
2020-06-29	71.4 
